id,难度等级,难度描述,画风,场景,主体,物理属性.状态,物理属性.规则,物理属性.纹理,物理属性.透光度,物理属性.尺度,空间布局,动作,表情,特效,灯光.色调,灯光.方向,灯光.强度,色彩.饱和度,色彩.主色调,相机.角度,相机.运镜,相机.构图,相机.时间,相机.景别,相机.景深,相机.焦距,环境.时段,环境.天气,转场,promptability_score,promptability_bucket,primary_tags,secondary_tags,stylistic_tags
1,S1 最简,单物品/单人物 + 单场景 + 单镜头,卡通,客厅,昆虫,固体,科幻,光滑,半透明,微观,内外,跳跃,无,烟雾,暖光,逆光,低调,低饱和,暖色系,荷兰角,移,中心构图,延时摄影,特写,浅景深,微距,黄昏,雾天,无,1.0,easy_to_visualize,scenes | subjects | action | camera_angle | camera_movement | time_mode | shot_size,spatial_layout | emotion | effect | lighting_tone | lighting_direction | lighting_intensity | composition | depth_of_field | focal_length,style | physical_state | physical_rule | texture | opacity | scale | color_saturation | color_palette | time_of_day | weather | transition
12,S3 中等,多物品/多人物 + 单场景 + 单镜头,电影质感,走廊,水生动物 / 人类 / 哺乳动物,固体,现实,布料,半透明,微观,环绕,打斗,喜:弱,雨,暖光,逆光,正常,去色,互补色,荷兰角,移,三分法,慢动作,全景,深景深,长焦,夜晚,雨天,无,0.48,conflict_heavy,scenes | subjects | action | camera_angle | camera_movement | time_mode | shot_size,spatial_layout | emotion | effect | lighting_tone | lighting_direction | lighting_intensity | composition | depth_of_field | focal_length,style | physical_state | physical_rule | texture | opacity | scale | color_saturation | color_palette | time_of_day | weather | transition
13,S3 中等,多物品/多人物 + 单场景 + 单镜头,卡通,仓库,哺乳动物 / 人类,固体,现实,光滑,不透明,微观,上下,走路,怒:强,烟雾,中性,顶光,低调,高饱和,冷色系,仰拍,拉,中心构图,延时摄影,中景,全景深,广角,黄昏,晴天,无,0.92,easy_to_visualize,scenes | subjects | action | camera_angle | camera_movement | time_mode | shot_size,spatial_layout | emotion | effect | lighting_tone | lighting_direction | lighting_intensity | composition | depth_of_field | focal_length,style | physical_state | physical_rule | texture | opacity | scale | color_saturation | color_palette | time_of_day | weather | transition
14,S3 中等,多物品/多人物 + 单场景 + 单镜头,日式动漫,办公室,人类 / 鸟类,固体,魔幻,皮革,不透明,常规,内外,跳跃,喜:中,爆炸,彩色混合,底光,高调,高饱和,暖色系,平拍,跟,框架构图,定格,近景,深景深,标准,黎明,雾天,无,0.92,easy_to_visualize,scenes | subjects | action | camera_angle | camera_movement | time_mode | shot_size,spatial_layout | emotion | effect | lighting_tone | lighting_direction | lighting_intensity | composition | depth_of_field | focal_length,style | physical_state | physical_rule | texture | opacity | scale | color_saturation | color_palette | time_of_day | weather | transition
15,S3 中等,多物品/多人物 + 单场景 + 单镜头,写实,厨房,人类 / 水生动物,固体,科幻,毛发,半透明,常规,左右,跑步,怒:中,火焰,暖光,顺光,低调,低饱和,单色系,鸟瞰,推,对称,常规速度,特写,浅景深,广角,白天,阴天,无,0.92,easy_to_visualize,scenes | subjects | action | camera_angle | camera_movement | time_mode | shot_size,spatial_layout | emotion | effect | lighting_tone | lighting_direction | lighting_intensity | composition | depth_of_field | focal_length,style | physical_state | physical_rule | texture | opacity | scale | color_saturation | color_palette | time_of_day | weather | transition
16,S4 复杂,多物品/多人物 + 多场景 + 单镜头,写实,客厅 / 办公室,鸟类 / 人类,固体,现实,布料,不透明,微观,环绕,跳跃,喜:强,爆炸,彩色混合,侧光,低调,去色,互补色,荷兰角,摇,中心构图,倒放,全景,深景深,标准,夜晚,雨天,无,0.7,borderline,scenes | subjects | action | camera_angle | camera_movement | time_mode | shot_size,spatial_layout | emotion | effect | lighting_tone | lighting_direction | lighting_intensity | composition | depth_of_field | focal_length,style | physical_state | physical_rule | texture | opacity | scale | color_saturation | color_palette | time_of_day | weather | transition
17,S4 复杂,多物品/多人物 + 多场景 + 单镜头,卡通,走廊 / 厨房 / 客厅,水生动物 / 人类,固体,科幻,皮革,半透明,常规,左右,打斗,怒:中,雨,暖光,顺光,高调,高饱和,暖色系,鸟瞰,跟,引导线,延时摄影,近景,全景深,广角,黎明,雪天,无,0.4,conflict_heavy,scenes | subjects | action | camera_angle | camera_movement | time_mode | shot_size,spatial_layout | emotion | effect | lighting_tone | lighting_direction | lighting_intensity | composition | depth_of_field | focal_length,style | physical_state | physical_rule | texture | opacity | scale | color_saturation | color_palette | time_of_day | weather | transition
18,S4 复杂,多物品/多人物 + 多场景 + 单镜头,哥特,走廊 / 客厅,人类 / 哺乳动物,固体,梦境,光滑,不透明,常规,内外,走路,喜:弱,烟雾,暖光,逆光,正常,低饱和,暖色系,仰拍,拉,框架构图,常规速度,远景,浅景深,广角,黎明,阴天,无,0.84,easy_to_visualize,scenes | subjects | action | camera_angle | camera_movement | time_mode | shot_size,spatial_layout | emotion | effect | lighting_tone | lighting_direction | lighting_intensity | composition | depth_of_field | focal_length,style | physical_state | physical_rule | texture | opacity | scale | color_saturation | color_palette | time_of_day | weather | transition
19,S4 复杂,多物品/多人物 + 多场景 + 单镜头,电影质感,客厅 / 办公室 / 厨房,鸟类 / 人类 / 哺乳动物,固体,现实,毛发,不透明,巨型,上下,跑步,喜:中,火焰,中性,顶光,低调,高饱和,冷色系,俯拍,推,三分法,慢动作,特写,浅景深,微距,白天,晴天,无,0.76,borderline,scenes | subjects | action | camera_angle | camera_movement | time_mode | shot_size,spatial_layout | emotion | effect | lighting_tone | lighting_direction | lighting_intensity | composition | depth_of_field | focal_length,style | physical_state | physical_rule | texture | opacity | scale | color_saturation | color_palette | time_of_day | weather | transition
20,S4 复杂,多物品/多人物 + 多场景 + 单镜头,日式动漫,客厅 / 厨房,人类 / 水生动物 / 哺乳动物,固体,魔幻,光滑,半透明,微观,前后,后空翻,怒:强,光效,冷光,底光,高调,低饱和,单色系,平拍,移,对称,定格,中景,深景深,长焦,黄昏,雾天,无,0.84,easy_to_visualize,scenes | subjects | action | camera_angle | camera_movement | time_mode | shot_size,spatial_layout | emotion | effect | lighting_tone | lighting_direction | lighting_intensity | composition | depth_of_field | focal_length,style | physical_state | physical_rule | texture | opacity | scale | color_saturation | color_palette | time_of_day | weather | transition
21,S5 极复杂,多物品/多人物 + 多场景 + 多镜头,日式动漫,走廊 / 客厅 / 厨房,人类 / 鸟类,固体,科幻,毛发,不透明,常规,前后,打斗,喜:强,爆炸,暖光,底光,高调,去色,冷色系,平拍,推 → 移,引导线,常规速度,特写 → 近景,全景深,广角,黎明,晴天,硬切,1.0,easy_to_visualize,scenes | subjects | action | camera_angle | camera_movement | time_mode | shot_size,spatial_layout | emotion | effect | lighting_tone | lighting_direction | lighting_intensity | composition | depth_of_field | focal_length,style | physical_state | physical_rule | texture | opacity | scale | color_saturation | color_palette | time_of_day | weather | transition
22,S5 极复杂,多物品/多人物 + 多场景 + 多镜头,哥特,客厅 / 走廊,人类 / 哺乳动物,固体,现实,光滑,不透明,常规,上下,跳跃,怒:中,雨,冷光,顶光,正常,低饱和,暖色系,俯拍,推 → 拉 → 摇,框架构图,倒放,特写 → 全景,浅景深,广角,白天,雨天,溶解,0.78,borderline,scenes | subjects | action | camera_angle | camera_movement | time_mode | shot_size,spatial_layout | emotion | effect | lighting_tone | lighting_direction | lighting_intensity | composition | depth_of_field | focal_length,style | physical_state | physical_rule | texture | opacity | scale | color_saturation | color_palette | time_of_day | weather | transition
23,S5 极复杂,多物品/多人物 + 多场景 + 多镜头,电影质感,厨房 / 客厅 / 办公室,鸟类 / 哺乳动物 / 人类,固体,魔幻,皮革,不透明,常规,左右,后空翻,怒:强,火焰,彩色混合,逆光,高调,高饱和,互补色,仰拍,推 → 拉,中心构图,延时摄影,特写 → 近景 → 全景,深景深,长焦,黄昏,雪天,匹配剪辑,0.92,easy_to_visualize,scenes | subjects | action | camera_angle | camera_movement | time_mode | shot_size,spatial_layout | emotion | effect | lighting_tone | lighting_direction | lighting_intensity | composition | depth_of_field | focal_length,style | physical_state | physical_rule | texture | opacity | scale | color_saturation | color_palette | time_of_day | weather | transition
24,S5 极复杂,多物品/多人物 + 多场景 + 多镜头,写实,客厅 / 办公室,水生动物 / 人类,固体,梦境,布料,半透明,微观,环绕,走路,喜:中,烟雾,中性,侧光,低调,低饱和,暖色系,荷兰角,推 → 摇,三分法,定格,特写 → 中景,深景深,微距,黎明,雾天,淡入淡出,0.92,easy_to_visualize,scenes | subjects | action | camera_angle | camera_movement | time_mode | shot_size,spatial_layout | emotion | effect | lighting_tone | lighting_direction | lighting_intensity | composition | depth_of_field | focal_length,style | physical_state | physical_rule | texture | opacity | scale | color_saturation | color_palette | time_of_day | weather | transition
25,S5 极复杂,多物品/多人物 + 多场景 + 多镜头,卡通,客厅 / 厨房,人类 / 水生动物 / 哺乳动物,固体,现实,光滑,半透明,微观,内外,跑步,喜:弱,光效,暖光,顺光,低调,高饱和,单色系,鸟瞰,推 → 拉 → 移,对称,慢动作,特写 → 近景 → 中景,浅景深,标准,夜晚,阴天,擦除,0.92,easy_to_visualize,scenes | subjects | action | camera_angle | camera_movement | time_mode | shot_size,spatial_layout | emotion | effect | lighting_tone | lighting_direction | lighting_intensity | composition | depth_of_field | focal_length,style | physical_state | physical_rule | texture | opacity | scale | color_saturation | color_palette | time_of_day | weather | transition
